證券代碼,年月,週轉率％_月,法人持股%,報酬率％_月
1515 力山,2018/3/31,23.0999,10.81,-3.7585
1516 川飛,2018/3/31,54.9852,29.77,3.9507
1517 利奇,2018/3/31,3.0905,23.81,-2.7398
1519 華城,2018/3/31,27.8294,13.31,21.9343
1521 大億,2018/3/31,1.9704,77.28,2.5773
1522 堤維西,2018/3/31,5.83,56.68,5.4056
1524 耿鼎,2018/3/31,5.2881,8.55,1.923
1525 江申,2018/3/31,1.4114,86.67,-6.3019
1526 日馳,2018/3/31,38.198,39.56,-10.2668
1527 鑽全,2018/3/31,11.2279,51.33,-9.2232
1528 恩德,2018/3/31,66.1489,30.01,2.721
1529 樂士,2018/3/31,0.4397,56.04,-4.4503
1530 亞崴,2018/3/31,0.5539,67.71,-1.0655
1531 高林股,2018/3/31,6.8123,42.54,2.2223
1532 勤美,2018/3/31,1.9906,46.66,1.2047
1533 車王電,2018/3/31,2.3725,17.95,2.6597
1535 中宇,2018/3/31,1.853,78.95,0.2223
1536 和大,2018/3/31,23.7343,58.24,-4.247
1537 廣隆,2018/3/31,3.6278,46.84,2.0905
1538 正峰,2018/3/31,8.6257,1.42,2.2968
1539 巨庭,2018/3/31,2.492,40.25,-1.0811
1540 喬福,2018/3/31,5.3584,8.06,-2.9154
1541 錩泰,2018/3/31,1.1358,24.7,-4.0697
1558 伸興,2018/3/31,3.5887,26.79,3.1619
1560 中砂,2018/3/31,8.3106,48.52,-3.2255
1568 倉佑,2018/3/31,6.5741,39.81,-5.9272
1582 信錦,2018/3/31,14.1497,39.31,5.7904
1583 程泰,2018/3/31,0.5036,48.18,-5.547
1590 亞德客-KY,2018/3/31,11.2102,87.35,-7.5702
1597 直得,2018/3/31,192.8444,27.67,15.9419
1598 岱宇,2018/3/31,5.7547,52.57,-6.5712
1604 聲寶,2018/3/31,7.9503,40.7,5.7034
1605 華新,2018/3/31,7.6808,57.81,3.245
1608 華榮,2018/3/31,9.4067,43.03,6.3349
1609 大亞,2018/3/31,66.7594,14.86,7.8572
1611 中電,2018/3/31,14.6459,48.33,7.8817
1612 宏泰,2018/3/31,3.3134,24.46,2.586
1614 三洋電,2018/3/31,0.6246,61.18,-0.6342
1615 大山,2018/3/31,4.46,40.28,4.4871
1616 億泰,2018/3/31,5.4495,19.9,4.7958
1617 榮星,2018/3/31,1.7451,65.23,-6.6445
1618 合機,2018/3/31,4.1243,45.71,-2.2199
1701 中化,2018/3/31,6.2403,41.35,4.2667
1702 南僑,2018/3/31,3.0027,51.93,-0.9755
1707 葡萄王,2018/3/31,23.5069,53.83,15.0465
1708 東鹼,2018/3/31,3.8566,37.3,-0.4966
1709 和益,2018/3/31,3.0939,47.39,7.6056
1710 東聯,2018/3/31,11.3324,75.87,-6.8112
1711 永光,2018/3/31,2.8117,14.27,-0.8403
1712 興農,2018/3/31,4.7263,26.49,2.6866
1713 國化,2018/3/31,3.4654,39.29,-6.9951
1714 和桐,2018/3/31,2.996,48.3,-5.1989
1717 長興,2018/3/31,0.8772,49,-4.9837
1718 中纖,2018/3/31,6.4221,47.99,-0.7233
1720 生達,2018/3/31,3.9167,18.21,5.8104
1721 三晃,2018/3/31,3.2665,32.99,0.7904
1722 台肥,2018/3/31,3.1998,60.26,0.2566
1723 中碳,2018/3/31,10.5114,67.16,3.3669
1725 元禎,2018/3/31,2.1905,94.76,13.9933
1726 永記,2018/3/31,1.1759,46.66,-0.3658
1727 中華化,2018/3/31,1.6807,34.99,-2.3258
1730 花仙子,2018/3/31,4.4767,35.11,4.3881
1731 美吾華,2018/3/31,8.8779,43.94,5.7762
1732 毛寶,2018/3/31,2.3231,15.63,-3.6144
1733 五鼎,2018/3/31,13.4629,21.91,12.7518
1734 杏輝,2018/3/31,8.7717,12.88,13.1147
1735 日勝化,2018/3/31,0.8351,59.65,0.3345
1736 喬山,2018/3/31,0.6177,7.45,0.3049
1737 臺鹽,2018/3/31,2.39,65.29,-0.0001
1752 南光,2018/3/31,9.006,33.9,9.2287
1760 寶齡富錦,2018/3/31,54.2658,27.64,87.4998
1762 中化生,2018/3/31,4.2573,31.72,10.1869
1773 勝一,2018/3/31,1.2253,53.72,-4.4943
1776 展宇,2018/3/31,2.0615,30.29,-0.0001
1783 和康生,2018/3/31,21.1046,38.58,24.0784
1786 科妍,2018/3/31,259.2222,13.42,106.2804
1789 神隆,2018/3/31,2.4238,77.92,6.8431
1795 美時,2018/3/31,12.4072,73.6,29.2739
1802 台玻,2018/3/31,2.6343,83.21,4.457
1805 寶徠,2018/3/31,2.1043,27.43,-2.0491
1806 冠軍,2018/3/31,11.9602,47.51,-4.7673
1808 潤隆,2018/3/31,11.3817,70.1,15.9088
1809 中釉,2018/3/31,12.9711,8.15,-6.0153
1810 和成,2018/3/31,1.7342,22.42,-0.1048
1817 凱撒衛,2018/3/31,3.9752,18.96,-0.584
1903 士紙,2018/3/31,0.26,50.3,-1.9553
1904 正隆,2018/3/31,3.9292,46.06,-4.1421
1905 華紙,2018/3/31,3.8546,76.23,-4.6415
1906 寶隆,2018/3/31,6.5709,63.94,-9.6989
1907 永豐餘,2018/3/31,4.134,49.13,-8.185
1909 榮成,2018/3/31,7.7552,73.22,-10.8072
2002 中鋼,2018/3/31,2.3373,57.91,-2.6973
2006 東和鋼鐵,2018/3/31,2.2027,67.11,-0.7907
2007 燁興,2018/3/31,0.7564,77.81,-4.0072
2008 高興昌,2018/3/31,0.3998,43.08,0
2009 第一銅,2018/3/31,9.5417,46.44,-5.3719
2010 春源,2018/3/31,4.3307,18,9.2921
2012 春雨,2018/3/31,2.4929,53.2,11.3094
2013 中鋼構,2018/3/31,14.14,63,29.4117
2014 中鴻,2018/3/31,17.8521,53.96,-12.2676
2015 豐興,2018/3/31,1.5332,29.76,-3.2521
2017 官田鋼,2018/3/31,16.8809,52,-0.4545
2020 美亞,2018/3/31,10.8357,63.35,12.4555
2022 聚亨,2018/3/31,4.3651,31.13,-2.3123
2023 燁輝,2018/3/31,2.7102,68.18,-6.9264
2024 志聯,2018/3/31,23.5067,33.03,3.6364
2027 大成鋼,2018/3/31,51.1543,41.2,17.8569
2028 威致,2018/3/31,2.0693,52.33,16.1457
2029 盛餘,2018/3/31,1.2298,80.58,-1.9364
2030 彰源,2018/3/31,11.9012,32.9,-3.5823
2031 新光鋼,2018/3/31,64.8891,33.74,27.2436
2032 新鋼,2018/3/31,7.5314,12.96,-5.3572
2033 佳大,2018/3/31,61.2511,34.35,-12.8768
2034 允強,2018/3/31,5.7186,42.87,-0.7535
2038 海光,2018/3/31,91.3347,47.15,-10.6385
2049 上銀,2018/3/31,19.6554,65.1,13.0664
2059 川湖,2018/3/31,3.8049,74.48,-4.9296
2062 橋椿,2018/3/31,3.5235,35.11,-1.5173
2101 南港,2018/3/31,0.9207,57.94,-3.1657
2102 泰豐,2018/3/31,1.9796,30.32,-1.9233
2103 台橡,2018/3/31,2.798,70.1,-7.4133
2104 國際中橡,2018/3/31,8.8432,64,-6.6
2105 正新,2018/3/31,3.6597,36.32,-6.2747
2106 建大,2018/3/31,1.257,22.95,1.2399
2107 厚生,2018/3/31,1.9873,40.76,-2.9127
2108 南帝,2018/3/31,2.3168,55.76,5.8954
2109 華豐,2018/3/31,11.9814,37.13,0.9644
2114 鑫永銓,2018/3/31,1.7579,34.49,4.5454
2201 裕隆,2018/3/31,3.6847,61.64,-3.212
2204 中華,2018/3/31,1.3466,86.26,2.2303
2206 三陽工業,2018/3/31,3.7845,62.31,0.4729
2207 和泰車,2018/3/31,4.3427,86.33,-9.3701
2208 台船,2018/3/31,17.2258,63.93,35.2727
2227 裕日車,2018/3/31,0.5503,96.16,3.0888
2231 為升,2018/3/31,23.0503,46.9,14.9491
2233 宇隆,2018/3/31,27.4678,47,5.9405
2301 光寶科,2018/3/31,7.4885,77.24,-1.4287
2302 麗正,2018/3/31,11.8952,50.21,7.0968
2303 聯電,2018/3/31,8.3499,73.6,9.5406
2305 全友,2018/3/31,31.591,40.12,-5.9408
2308 台達電,2018/3/31,4.8717,82.07,-6.1154
2312 金寶,2018/3/31,2.5282,39.19,-0.483
2313 華通,2018/3/31,44.6301,40.39,-11.6177
2314 台揚,2018/3/31,10.793,38.43,-1.7857
2316 楠梓電,2018/3/31,4.4454,26.02,-5.337
2317 鴻海,2018/3/31,6.3286,60.49,0.4539
2321 東訊,2018/3/31,0.4036,64.85,-5.6668
2323 中環,2018/3/31,10.5788,16.58,2.018
2324 仁寶,2018/3/31,3.8667,68.59,-0.7462
2327 國巨,2018/3/31,47.9054,77.81,57.9421
2328 廣宇,2018/3/31,6.4777,40.44,-1.8016
2329 華泰,2018/3/31,2.4642,45.25,-3.3783
2330 台積電,2018/3/31,2.6942,91.83,0.6099
2331 精英,2018/3/31,9.4187,63.49,-7.8166
2332 友訊,2018/3/31,12.1919,24.96,0.0002
2337 旺宏,2018/3/31,50.5964,58.99,22.4395
2338 光罩,2018/3/31,21.4148,34.87,-1.4005
2340 台亞,2018/3/31,29.7337,40.94,-1.7169
2344 華邦電,2018/3/31,22.4927,54.65,-1.759
2345 智邦,2018/3/31,28.5516,69.69,-13.75
2347 聯強,2018/3/31,8.1932,79.22,12.4031
2349 錸德,2018/3/31,12.2053,19.04,3.0477
2351 順德,2018/3/31,28.2744,32.24,10.4167
2352 佳世達,2018/3/31,9.1727,49.38,8.1082
2353 宏碁,2018/3/31,29.9702,35.38,0.4065
2354 鴻準,2018/3/31,5.0725,71.25,0.2519
2355 敬鵬,2018/3/31,5.1565,53.7,-5.9999
2356 英業達,2018/3/31,4.8149,57.05,-0.8568
2357 華碩,2018/3/31,4.1633,75.69,-0.3613
2358 廷鑫,2018/3/31,7.5188,18.14,-6.2365
2359 所羅門,2018/3/31,12.5456,9.1,-1.0965
2360 致茂,2018/3/31,16.2971,75.46,5.625
2362 藍天,2018/3/31,2.3434,43.84,0.1703
2363 矽統,2018/3/31,36.7197,29.64,5.8373
2364 倫飛,2018/3/31,1.9806,52.39,17.6955
2365 昆盈,2018/3/31,8.2024,23.04,1.9705
2367 燿華,2018/3/31,74.4318,21.77,-1.7112
2368 金像電,2018/3/31,8.3711,11.47,2.0877
2369 菱生,2018/3/31,12.5843,29.78,-2.9303
2371 大同,2018/3/31,30.9225,64.45,-12.0554
2373 震旦行,2018/3/31,1.4064,80.32,-1.0894
2374 佳能,2018/3/31,8.9654,38.04,-4.6568
2375 凱美,2018/3/31,58.4289,24.39,4.895
2376 技嘉,2018/3/31,30.6342,61.99,-4.9788
2377 微星,2018/3/31,26.3587,59.88,11.345
2379 瑞昱,2018/3/31,8.5842,81.9,12.0691
2380 虹光,2018/3/31,12.5396,21.54,-0.287
2382 廣達,2018/3/31,2.668,73.32,-0.8392
2383 台光電,2018/3/31,18.9343,64.13,-14.3379
2385 群光,2018/3/31,2.9689,71.86,4.4505
2387 精元,2018/3/31,5.7572,29.9,1.8407
2388 威盛,2018/3/31,27.7596,56.73,109.3434
2390 云辰,2018/3/31,9.1323,19.36,8.9622
2392 正崴,2018/3/31,4.0701,59.72,-3.4361
2393 億光,2018/3/31,6.8391,53.58,-2.3861
2395 研華,2018/3/31,2.2616,88.01,-3.4482
2397 友通,2018/3/31,1.2015,83.99,2.5439
2399 映泰,2018/3/31,364.9102,21.16,20.4033
2401 凌陽,2018/3/31,16.0703,17.29,0.6231
2402 毅嘉,2018/3/31,7.5233,29.93,-3.2072
2404 漢唐,2018/3/31,14.0006,48.37,12.9086
2405 浩鑫,2018/3/31,62.2747,8.74,-13.8021
2406 國碩,2018/3/31,13.4965,10.49,-7.8946
2408 南亞科,2018/3/31,17.8812,94.35,13.8615
2409 友達,2018/3/31,16.256,56.63,3.8168
2412 中華電,2018/3/31,2.4684,82.29,3.1964
2413 環科,2018/3/31,7.5872,11.32,3.6459
2414 精技,2018/3/31,2.5152,42.89,2.2558
2415 錩新,2018/3/31,3.5363,27.12,-3.9045
2417 圓剛,2018/3/31,22.8594,6.41,-3.3708
2419 仲琦,2018/3/31,21.6295,26.01,7.389
2420 新巨,2018/3/31,4.3879,18.59,5.4015
2421 建準,2018/3/31,19.5816,56.8,-12.9923
2423 固緯,2018/3/31,1.2989,9.83,5.5556
2424 隴華,2018/3/31,1.0233,58.06,-17.247
2425 承啟,2018/3/31,178.1644,62.38,-8.5073
2426 鼎元,2018/3/31,24.91,14.18,-2.353
2427 三商電,2018/3/31,26.0235,56.3,-3.6884
2428 興勤,2018/3/31,11.3081,44.91,16.5857
2429 銘旺科,2018/3/31,0.6495,38.95,-2.2582
2430 燦坤,2018/3/31,4.8118,56.28,3.6247
2431 聯昌,2018/3/31,31.4477,37.54,2.7398
2433 互盛電,2018/3/31,1.8616,83.45,6.912
2434 統懋,2018/3/31,46.8868,5.79,-12.3685
2436 偉詮電,2018/3/31,11.3572,10.78,1.9855
2438 翔耀,2018/3/31,12.2491,8.08,21.739
2439 美律,2018/3/31,55.7077,48.2,-12.2394
2440 太空梭,2018/3/31,38.5338,18.42,21.495
2441 超豐,2018/3/31,2.5596,76.77,0.8802
2442 新美齊,2018/3/31,19.3913,59.29,5.5554
2443 昶虹,2018/3/31,6.1323,18.14,-0.8517
2444 兆勁,2018/3/31,127.029,14.68,-8.658
2449 京元電子,2018/3/31,12.629,77.2,-3.1746
2450 神腦,2018/3/31,1.1032,79.68,1.5503
2451 創見,2018/3/31,3.5697,79.77,1.887
2453 凌群,2018/3/31,14.596,12.93,7.1683
2454 聯發科,2018/3/31,14.2894,76.06,13.1232
2455 全新,2018/3/31,178.3743,39.8,-0.4464
2457 飛宏,2018/3/31,8.7753,7.62,-10.0774
2458 義隆,2018/3/31,12.9563,45.87,-2.3178
2459 敦吉,2018/3/31,2.8248,29.88,0.5777
2460 建通,2018/3/31,12.6283,55.32,-0.0002
2461 光群雷,2018/3/31,8.7313,8.59,3.1847
2462 良得電,2018/3/31,4.1015,40.09,-2.0272
2464 盟立,2018/3/31,20.1068,43.04,-6.8756
2465 麗臺,2018/3/31,102.4987,10.5,-13.7764
2466 冠西電,2018/3/31,1.6071,76.65,-0.2606
2467 志聖,2018/3/31,5.8352,27.05,-1.1111
2468 華經,2018/3/31,13.4375,68.36,6.1986
2471 資通,2018/3/31,2.2708,6.77,1.6502
2472 立隆電,2018/3/31,20.1465,32.47,2.21
2474 可成,2018/3/31,16.2987,82.84,0.5649
2476 鉅祥,2018/3/31,4.0758,45.72,-1.7374
2477 美隆電,2018/3/31,5.4027,50.47,-8.3074
2478 大毅,2018/3/31,29.4414,42.4,12.6201
2480 敦陽科,2018/3/31,5.048,12.58,3.6265
2481 強茂,2018/3/31,118.477,61.88,34.595
2482 連宇,2018/3/31,10.4943,30.35,7.7551
2483 百容,2018/3/31,4.6385,22.38,-4.017
2484 希華,2018/3/31,11.4809,5.7,-3.1401
2485 兆赫,2018/3/31,7.7472,13.14,1.6728
2486 一詮,2018/3/31,6.4047,11.32,-4.6508
2488 漢平,2018/3/31,6.6338,21.34,-0.5457
2489 瑞軒,2018/3/31,7.77,24.1,-16.7648
2491 吉祥全,2018/3/31,2.5638,25.36,14.4198
2492 華新科,2018/3/31,51.1128,80.85,38.8889
2493 揚博,2018/3/31,5.2142,12.16,-1.6885
2495 普安,2018/3/31,2.0886,27.32,-1.4814
2496 卓越,2018/3/31,8.612,74.09,6.5359
2497 怡利電,2018/3/31,1.4335,5.14,-3.1917
2498 宏達電,2018/3/31,22.5858,45.5,11.6392
2501 國建,2018/3/31,1.8534,79.97,-1.2577
2504 國產,2018/3/31,2.0056,50.71,-0.5286
2505 國揚,2018/3/31,1.6889,72.21,4.7922
2506 太設,2018/3/31,0.477,48.15,6.7267
2509 全坤建,2018/3/31,25.4903,63.24,37.6446
2511 太子,2018/3/31,1.3441,56.71,0.42
2514 龍邦,2018/3/31,5.2933,66.75,-0.3508
2515 中工,2018/3/31,13.0156,28.83,6.2417
2516 新建,2018/3/31,3.1112,6.91,-4.7762
2520 冠德,2018/3/31,8.4025,44.35,-1.6586
2524 京城,2018/3/31,1.417,45.89,-1.0941
2527 宏璟,2018/3/31,3.9781,73.66,21.1181
2528 皇普,2018/3/31,1.4385,66.44,9.3749
2530 華建,2018/3/31,4.3217,65.5,0
2534 宏盛,2018/3/31,20.8161,61.37,8.7327
2535 達欣工,2018/3/31,9.4785,28.37,13.774
2536 宏普,2018/3/31,3.4741,75.3,5.0928
2537 聯上發,2018/3/31,4.0851,51.92,3.5294
2538 基泰,2018/3/31,3.0816,24.75,1.9511
2539 櫻花建,2018/3/31,0.378,28.39,3.9008
2540 愛山林,2018/3/31,2.6937,34.27,27.6598
2542 興富發,2018/3/31,3.9618,61.99,2.265
2543 皇昌,2018/3/31,0.1124,66.89,-0.8423
2545 皇翔,2018/3/31,1.1073,62.84,0.1688
2546 根基,2018/3/31,5.1709,46.71,8.1678
2547 日勝生,2018/3/31,2.0839,32.41,-8.5019
2548 華固,2018/3/31,5.9333,67.16,-0.1391
2597 潤弘,2018/3/31,0.6422,73.89,0.0001
2601 益航,2018/3/31,5.2621,33.89,-2.797
2603 長榮,2018/3/31,9.5664,44.29,-1.9417
2605 新興,2018/3/31,3.954,48.56,-8.4833
2606 裕民,2018/3/31,4.8335,68.04,-5.362
2607 榮運,2018/3/31,0.7248,56.8,-1.8585
2608 嘉里大榮,2018/3/31,0.4728,73.22,-2.2108
2609 陽明,2018/3/31,4.5654,61.11,1.4423
2610 華航,2018/3/31,3.6904,78.95,-6.087
2611 志信,2018/3/31,17.2686,60.37,6.4327
2612 中航,2018/3/31,3.9603,62.98,-2.4916
2613 中櫃,2018/3/31,1.1675,50.59,0.3907
2614 東森,2018/3/31,31.6016,33.79,20.3186
2615 萬海,2018/3/31,2.3743,73.35,-1.9124
2616 山隆,2018/3/31,3.9806,40.03,-0.1538
2617 台航,2018/3/31,2.6327,65.79,-0.0001
2618 長榮航,2018/3/31,2.5334,69.01,0.3333
2633 台灣高鐵,2018/3/31,0.7766,87.31,-1.1038
2636 台驊投控,2018/3/31,13.7309,35.67,9.4715
2637 慧洋-KY,2018/3/31,1.3416,33.85,0.3604
2701 萬企,2018/3/31,0.3058,79.29,-1.498
2702 華園,2018/3/31,1.1202,56.85,0.3345
2704 國賓,2018/3/31,0.656,81.72,1.0869
2705 六福,2018/3/31,1.2316,15.02,-1.5667
2706 第一店,2018/3/31,0.7005,79.99,-1.9354
2707 晶華,2018/3/31,2.5816,81.56,0.331
2722 夏都,2018/3/31,0.1408,82.55,-3.3427
2723 美食-KY,2018/3/31,6.0125,76.31,-8.3131
2727 王品,2018/3/31,7.3649,39.75,0.3891
2801 彰銀,2018/3/31,1.3851,75.3,0.8928
2809 京城銀,2018/3/31,2.4259,55.45,-6.2106
2812 台中銀,2018/3/31,3.0801,61.66,0.4925
2816 旺旺保,2018/3/31,3.1302,65.85,-3.8463
2820 華票,2018/3/31,1.2608,59.6,-2.6143
2832 台產,2018/3/31,0.9359,55.66,-0.4807
2834 臺企銀,2018/3/31,6.1081,60.81,0.926
2836 高雄銀,2018/3/31,0.7473,70.49,-2.9045
2838 聯邦銀,2018/3/31,1.0244,81.14,2.5806
2841 台開,2018/3/31,3.7292,33.55,0.3033
2845 遠東銀,2018/3/31,1.4534,67.16,1.9689
2849 安泰銀,2018/3/31,0.1577,98.18,4.5804
2850 新產,2018/3/31,2.5984,64.71,5.1668
2851 中再保,2018/3/31,2.1425,83.7,5.5713
2852 第一保,2018/3/31,1.2462,43.16,-4.8611
2855 統一證,2018/3/31,1.6061,66.88,-0.339
2867 三商壽,2018/3/31,1.8816,71.74,-2.5155
2880 華南金,2018/3/31,1.5565,73.12,2.3256
2881 富邦金,2018/3/31,2.8459,78.39,-3.8315
2882 國泰金,2018/3/31,2.4012,78.22,-3.6697
2883 開發金,2018/3/31,5.1291,56.34,-1.9046
2884 玉山金,2018/3/31,3.7763,67.72,1.0338
2885 元大金,2018/3/31,4.0571,76.33,1.5209
2886 兆豐金,2018/3/31,2.4393,86.78,1.0018
2887 台新金,2018/3/31,3.4932,64.78,0.3521
2888 新光金,2018/3/31,17.5964,60.18,-4.1495
2889 國票金,2018/3/31,2.3354,61.63,2.5
2890 永豐金,2018/3/31,4.1908,65.03,2.4755
2891 中信金,2018/3/31,4.1695,74.63,-0.7024
2892 第一金,2018/3/31,2.5385,63.22,1.5
2897 王道銀行,2018/3/31,0.9219,82.31,-3.9692
2901 欣欣,2018/3/31,0.4819,62.56,0.0001
2903 遠百,2018/3/31,3.6122,68.13,2.2012
2904 匯僑,2018/3/31,1.1458,50.34,-0.5433
2905 三商,2018/3/31,1.1716,65.19,1.6128
2906 高林,2018/3/31,1.6632,52.41,1.8519
2908 特力,2018/3/31,2.1446,71.25,2.8445
2910 統領,2018/3/31,0.0402,60.43,-2
2911 麗嬰房,2018/3/31,9.1301,24.63,12.1739
2912 統一超,2018/3/31,2.3752,96.77,-0.1696
2913 農林,2018/3/31,1.77,44.5,-0.671
2915 潤泰全,2018/3/31,22.2579,73.21,9.9414
3002 歐格,2018/3/31,1.3637,20.23,1.1859
3003 健和興,2018/3/31,7.5494,33.67,-6.1947
3004 豐達科,2018/3/31,21.7999,58.35,7.1722
3005 神基,2018/3/31,6.0485,81.06,-1.7441
3006 晶豪科,2018/3/31,75.1706,25.17,5.4632
3008 大立光,2018/3/31,12.6644,63.47,-9.337
3010 華立,2018/3/31,3.9885,56.91,2.8269
3011 今皓,2018/3/31,46.2611,0.38,14.2856
3013 晟銘電,2018/3/31,12.0146,12.2,1.7498
3014 聯陽,2018/3/31,14.7346,40.77,8.078
3015 全漢,2018/3/31,9.1584,35.52,-0.7677
3016 嘉晶,2018/3/31,51.5122,69.62,18.0492
3017 奇鋐,2018/3/31,17.4946,49.58,0.1692
3018 同開,2018/3/31,26.1707,11.66,2.9271
3019 亞光,2018/3/31,90.0503,21.37,-6.818
3021 鴻名,2018/3/31,3.3503,46.69,8.244
3022 威強電,2018/3/31,3.4616,45.35,-6.0345
3023 信邦,2018/3/31,11.7086,58.25,2.2443
3024 憶聲,2018/3/31,2.4867,15.94,5.4348
3025 星通,2018/3/31,3.9481,3.47,-3.878
3026 禾伸堂,2018/3/31,165.1737,58.53,43.0872
3027 盛達,2018/3/31,6.8853,2.34,1.9323
3028 增你強,2018/3/31,10.2271,25.49,5.2752
3029 零壹,2018/3/31,110.6806,20.54,7.3048
3030 德律,2018/3/31,18.232,41.06,0.0001
3031 佰鴻,2018/3/31,14.2987,32.96,10.1911
3032 偉訓,2018/3/31,1.573,56.84,-2.3155
3033 威健,2018/3/31,27.111,20.87,-3.5399
3034 聯詠,2018/3/31,13.3261,82.78,4.7433
3035 智原,2018/3/31,90.5077,58.53,2.2091
3036 文曄,2018/3/31,5.5393,58.04,-0.1062
3037 欣興,2018/3/31,29.6717,55.08,-6.6832
3038 全台,2018/3/31,9.6212,17.55,2.5747
3040 遠見,2018/3/31,47.0238,39.5,21.471
3041 揚智,2018/3/31,11.8027,21.45,-7.8788
3042 晶技,2018/3/31,3.0295,55.97,-1.0129
3043 科風,2018/3/31,2.2537,10.01,-5.1723
3044 健鼎,2018/3/31,8.3601,85.83,0.3071
3045 台灣大,2018/3/31,4.1762,88.73,2.3257
3046 建碁,2018/3/31,0.9195,57.79,-2.1277
3047 訊舟,2018/3/31,3.5659,21.77,-4.0264
3048 益登,2018/3/31,11.1937,18.27,-4.6392
3049 和鑫,2018/3/31,2.4991,45.35,-6.4326
3050 鈺德,2018/3/31,13.0494,41.71,2.2222
3051 力特,2018/3/31,7.1121,2.55,-12.5516
3052 夆典,2018/3/31,5.6939,26.86,20.6429
3054 立萬利,2018/3/31,0.9705,64.18,0.2463
3055 蔚華科,2018/3/31,25.1761,44.69,2.8021
3056 總太,2018/3/31,18.7592,40.15,8.5575
3057 喬鼎,2018/3/31,4.737,9.56,-5.0485
3058 立德,2018/3/31,1.6189,19.21,-4.7993
3059 華晶科,2018/3/31,31.9062,25.74,-2.7075
3060 銘異,2018/3/31,4.4926,18.74,-5.3607
3062 建漢,2018/3/31,8.375,39.33,-1.0583
3090 日電貿,2018/3/31,145.5078,37.65,37.5328
3092 鴻碩,2018/3/31,15.0673,17.25,8.6711
3094 聯傑,2018/3/31,11.3874,10.3,-1.3016
3130 一零四,2018/3/31,0.3043,55.08,1.4409
3138 耀登,2018/3/31,2.332,49.41,-0.8266
3149 正達,2018/3/31,2.6784,35.42,-1.1835
3164 景岳,2018/3/31,17.5153,1.98,10.395
3167 大量,2018/3/31,26.8638,7.58,1.1907
3189 景碩,2018/3/31,24.048,66.53,9.6266
3209 全科,2018/3/31,4.5128,4.66,3.4062
3229 晟鈦,2018/3/31,5.4408,35.28,4.7091
3231 緯創,2018/3/31,31.2301,52.97,1.6329
3257 虹冠電,2018/3/31,10.2306,20.25,2.353
3266 昇陽,2018/3/31,0.719,77.04,-0.8972
3296 勝德,2018/3/31,2.2296,17.16,-3.3898
3305 昇貿,2018/3/31,0.8025,25.93,-1.744
3308 聯德,2018/3/31,6.2132,26.97,1.7639
3311 閎暉,2018/3/31,4.229,41.98,-1.2011
3338 泰碩,2018/3/31,3.1975,3.99,-7.7999
3356 奇偶,2018/3/31,5.838,25.62,-12.2754
3376 新日興,2018/3/31,22.6415,46.78,-1.2142
3380 明泰,2018/3/31,15.6944,61.95,-4.8289
3383 新世紀,2018/3/31,0.973,33.38,-15.8567
3406 玉晶光,2018/3/31,143.1779,31.67,26.4343
3413 京鼎,2018/3/31,44.6717,60.81,-3.5712
3416 融程電,2018/3/31,1.5697,37.19,0.4107
3419 譁裕,2018/3/31,9.2679,10.1,-5.2909
3432 台端,2018/3/31,26.0685,27.14,45.2914
3443 創意,2018/3/31,65.6618,73.65,2.5807
3450 聯鈞,2018/3/31,11.5542,51.39,-9.3496
3454 晶睿,2018/3/31,1.7381,68.09,0.6827
3481 群創,2018/3/31,12.604,52.34,0.7695
3494 誠研,2018/3/31,9.0081,11.13,-3.7385
3501 維熹,2018/3/31,4.2501,48.6,-3.4358
3504 揚明光,2018/3/31,36.589,51.9,-4.0689
3515 華擎,2018/3/31,120.2973,72.05,11.8789
3518 柏騰,2018/3/31,5.346,11.34,-12.46
3528 安馳,2018/3/31,4.5247,15.83,4.329
3530 晶相光,2018/3/31,0.9814,55.01,0.4521
3532 台勝科,2018/3/31,14.1604,93.74,-9.9616
3533 嘉澤,2018/3/31,37.2744,84.27,7.5002
3535 晶彩科,2018/3/31,28.1549,28.33,-3.4724
3536 誠創,2018/3/31,15.9981,47.02,-31.8652
3545 敦泰,2018/3/31,29.0482,32.68,13.2981
3550 聯穎,2018/3/31,34.8988,7.97,-11.1347
3557 嘉威,2018/3/31,5.5816,39.91,-3.4187
3563 牧德,2018/3/31,62.5141,46.32,4.3408
3576 聯合再生,2018/3/31,6.3999,39.83,-6.9344
3588 通嘉,2018/3/31,4.8249,16.15,1.1904
3591 艾笛森,2018/3/31,8.8049,44.09,0.3135
3593 力銘,2018/3/31,3.9887,25.95,-15.7895
3596 智易,2018/3/31,31.9286,60.42,5.1925
3605 宏致,2018/3/31,36.8569,26.79,11.5305
3607 谷崧,2018/3/31,9.45,12.02,5.2265
3617 碩天,2018/3/31,1.8666,58.09,-2.2175
3622 洋華,2018/3/31,22.8525,36.62,6.745
3645 達邁,2018/3/31,64.9667,41.32,0.2545
3653 健策,2018/3/31,4.9641,62.25,1.8183
3661 世芯-KY,2018/3/31,291.2007,50.59,3.0304
3665 貿聯-KY,2018/3/31,31.0991,74.72,-9.7744
3669 圓展,2018/3/31,1.3233,59.2,-5.0724
3673 TPK-KY,2018/3/31,30.0285,35.2,0.2754
3679 新至陞,2018/3/31,6.3541,38.48,14.3058
3682 亞太電,2018/3/31,2.0731,55.01,-3.4848
3686 達能,2018/3/31,4.5328,4.46,-6.1562
